car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,normal_hours,other_hours
GBM,BLK 60A GEYLANG BAHRU,1.322772391,103.8686337,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,0.6,0.6
GEM,BLK 118 ALJUNIED AVE 2,1.320036814,103.8876027,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,1.8,N,0.6,0.6
GEML,BLK 118 ALJUNIED AVE 2,1.319937742,103.8878498,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N,0.6,0.6
GE1A,BLK 99-106/111-112 ALJUNIED CRESCENT,1.319887489,103.8834378,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GE1B,BLK 114-117 ALJUNIED AVENUE 2,1.321205443,103.8869925,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N,0.6,0.6
GE1C,BLK 119 ALJUNIED CRESCENT,1.31975879,103.8862991,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GE1D,BLK 1005-1012 ALJUNIED CRESCENT,1.321854018,103.8891634,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GE1E,BLK 109-110 ALJUNIED CRESCENT,1.319721482,103.884428,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GE1F,BLK 107-108 ALJUNIED CRESCENT,1.319209948,103.8842356,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N,0.6,0.6
GE1G,BLK 95 & 113 ALJUNIED CRESCENT,1.320962409,103.8863088,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N,0.6,0.6
GE2,BLK 120 TO 123 GEYLANG EAST CENTRAL,1.317945422,103.8848394,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N,0.6,0.6
